material,site,direction,bond_length_A,fft_spacing_A,r_peak_A,h_peak,M
"1,3CDMA",1,1,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",1,2,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",1,3,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",1,4,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",1,5,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",1,6,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",2,1,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",2,2,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",2,3,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",2,4,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",2,5,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",2,6,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",3,1,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",3,2,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",3,3,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",3,4,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",3,5,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",3,6,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",4,1,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",4,2,3.13848585452072,0.116506150793651,0.897468168460308,0.477359344574578,0.428414816672759
"1,3CDMA",4,3,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",4,4,3.17452652382504,0.116506150793651,0.90152611703808,0.478093681462751,0.431013940229555
"1,3CDMA",4,5,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
"1,3CDMA",4,6,3.17497533248507,0.116506150793651,0.901650960175312,0.478538597507071,0.431474785923198
4AMP,1,1,3.07463194207234,0.116943042328042,0.893833720087996,0.461643856983386,0.412632846043231
4AMP,1,2,3.10465736475101,0.116943042328042,0.896209975646068,0.460370680567186,0.412588796419282
4AMP,1,3,3.19300505019862,0.116943042328042,0.900624535650173,0.467521275279458,0.421061131455138
4AMP,1,4,3.26767847945975,0.116943042328042,0.907645945286272,0.481005001122968,0.43658223893168
4AMP,1,5,3.27115610365505,0.116943042328042,0.910551505035158,0.495129951644502,0.450841322657886
4AMP,1,6,3.2908095463607,0.116943042328042,0.908159695551788,0.497889503981523,0.452163180354291
4AMP,2,1,3.0746382572975,0.116943042328042,0.893832500078336,0.461655740120527,0.412642904367445
4AMP,2,2,3.10464726627675,0.116943042328042,0.896198692254565,0.460377380926017,0.412589606729478
4AMP,2,3,3.19317023548486,0.116943042328042,0.900647832249306,0.467512276881171,0.421063918722964
4AMP,2,4,3.26783019492441,0.116943042328042,0.907656932681031,0.48100084473446,0.436583751348665
4AMP,2,5,3.27114661311058,0.116943042328042,0.910556518789907,0.495120556507382,0.450835250314684
4AMP,2,6,3.29075834749154,0.116943042328042,0.90815032851165,0.497890223421606,0.45215916996307
4AMP,3,1,3.0745487692286,0.116943042328042,0.893824319500036,0.46165395812597,0.412637534966444
4AMP,3,2,3.10467713561357,0.116943042328042,0.896193188740092,0.460370010752916,0.412580467936966
4AMP,3,3,3.19341451233771,0.116943042328042,0.900663010071205,0.467568597683083,0.421121740604018
4AMP,3,4,3.26741978870596,0.116943042328042,0.90762299934597,0.480941969676829,0.436513993029442
4AMP,3,5,3.2711402509998,0.116943042328042,0.910568899999769,0.495122482100052,0.450843133891
4AMP,3,6,3.29067378577457,0.116943042328042,0.908152484516725,0.497896783587548,0.452166201047918
4AMP,4,1,3.07456952244558,0.116943042328042,0.893825438372408,0.461656620178108,0.412640430908221
4AMP,4,2,3.10470570737398,0.116943042328042,0.89620412441189,0.460375347677554,0.412590285366182
4AMP,4,3,3.19342296740573,0.116943042328042,0.900664235238916,0.467569154938333,0.42112281535384
4AMP,4,4,3.26743671840904,0.116943042328042,0.907624580494713,0.480944848317228,0.436517366195017
4AMP,4,5,3.27114345477623,0.116943042328042,0.910561803012016,0.495112153889661,0.450830215538933
4AMP,4,6,3.29070272728473,0.116943042328042,0.908153151428346,0.497897173222084,0.452166886948901
4AMP,5,1,3.04336457346824,0.116943042328042,0.890952893088496,0.45649262646373,0.406713426221426
4AMP,5,2,3.0999295565387,0.116943042328042,0.895933160446262,0.449427390951925,0.402656902766676
4AMP,5,3,3.15313691525996,0.116943042328042,0.900063249496686,0.471174674036505,0.424087008193839
4AMP,5,4,3.19960470959999,0.116943042328042,0.904252002261809,0.477907229631707,0.432148569289865
4AMP,5,5,3.30062145128691,0.116943042328042,0.90799198144006,0.497980986412089,0.452162742571788
4AMP,5,6,3.38221591654365,0.116943042328042,0.917326875313472,0.49884483899838,0.457603777424636
4AMP,6,1,3.0432730029043,0.116943042328042,0.890949733081214,0.456484438466348,0.406704688607321
4AMP,6,2,3.10008744644842,0.116943042328042,0.895945995056129,0.449443095282948,0.402676741224388
4AMP,6,3,3.1531711105068,0.116943042328042,0.900059238108218,0.47117106449817,0.424081869330861
4AMP,6,4,3.19959691292677,0.116943042328042,0.904252190170594,0.477912118167274,0.432153079561825
4AMP,6,5,3.3007250071897,0.116943042328042,0.907999609744218,0.498003472102387,0.452186958320233
4AMP,6,6,3.38204596733875,0.116943042328042,0.917299156508043,0.498819982876033,0.457567149541542
4AMP,7,1,3.04336346269002,0.116943042328042,0.890955943348418,0.456488297074579,0.406710961347594
4AMP,7,2,3.09992556229352,0.116943042328042,0.895934324207561,0.449426963153385,0.402657042513484
4AMP,7,3,3.15310543277274,0.116943042328042,0.900059912431731,0.471164604330607,0.424076372514738
4AMP,7,4,3.19966576879056,0.116943042328042,0.904255126563445,0.477917773641858,0.432159596891438
4AMP,7,5,3.30063783425167,0.116943042328042,0.907997489672131,0.497982294601868,0.452166673399664
4AMP,7,6,3.38224792112542,0.116943042328042,0.91732721270157,0.498843136405538,0.457602383894202
4AMP,8,1,3.04330251032174,0.116943042328042,0.890958476499176,0.456490278381271,0.406713882963262
4AMP,8,2,3.10003477071349,0.116943042328042,0.89594663955318,0.449438831395482,0.402673210673491
4AMP,8,3,3.15318656799096,0.116943042328042,0.900066838008786,0.471171172956882,0.424085547804191
4AMP,8,4,3.19957573375993,0.116943042328042,0.904249262889315,0.477905815600076,0.432145981486885
4AMP,8,5,3.30060300474137,0.116943042328042,0.907987905917108,0.497989262078591,0.452168227243946
4AMP,8,6,3.38209781310504,0.116943042328042,0.917300226451686,0.498830414896082,0.457577252545164
3AMP,1,1,3.1228375934959,0.115045308641975,0.899362043759479,0.476441715986796,0.428493595422158
3AMP,1,2,3.15161754936948,0.115045308641975,0.902092192134233,0.482134451701274,0.434929724438639
3AMP,1,3,3.15224936306247,0.115045308641975,0.900085073631492,0.471778653462953,0.424640924039968
3AMP,1,4,3.15418858822391,0.115045308641975,0.901753896687745,0.479243417516978,0.432159619207887
3AMP,1,5,3.16158655359897,0.115045308641975,0.898532219989495,0.473294517261352,0.425270373303699
3AMP,1,6,3.20789215327092,0.115045308641975,0.900777956088661,0.477511115305556,0.430131486454556
3AMP,2,1,3.12373478552413,0.115045308641975,0.899342445856467,0.473603555280129,0.42593177977195
3AMP,2,2,3.14439599732748,0.115045308641975,0.899129624467421,0.4717473516545,0.424162019136611
3AMP,2,3,3.15518047591592,0.115045308641975,0.896991791363164,0.472525695299704,0.423851669892006
3AMP,2,4,3.15696320125236,0.115045308641975,0.897997393249031,0.476503126996258,0.427898565917651
3AMP,2,5,3.16086173529387,0.115045308641975,0.903026086571359,0.482807197900678,0.435987494488733
3AMP,2,6,3.17294409224381,0.115045308641975,0.902236856100729,0.481833465634941,0.434727911198588
3AMP,3,1,3.12373478552413,0.115045308641975,0.899342445856467,0.473603555280129,0.42593177977195
3AMP,3,2,3.14439599732748,0.115045308641975,0.899129624467421,0.4717473516545,0.424162019136611
3AMP,3,3,3.15518047591592,0.115045308641975,0.896991791363164,0.472525695299704,0.423851669892006
3AMP,3,4,3.15696320125236,0.115045308641975,0.897997393249031,0.476503126996257,0.427898565917651
3AMP,3,5,3.16086173529387,0.115045308641975,0.903026086571359,0.482807197900678,0.435987494488733
3AMP,3,6,3.17294409224381,0.115045308641975,0.90223685610073,0.481833465634941,0.434727911198588
