candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
"sn_i_bond|mult(d,r)|within=max|across=site_cv",A,sn_i_bond,"mult(d,r)",mult,d+r,max,site_cv,1,identity,be5416811267,True,f010752,True,1.18798807466484,True
"sn_i_bond|mult(d,r)|within=top2_deviation|across=site_cv",A,sn_i_bond,"mult(d,r)",mult,d+r,top2_deviation,site_cv,1,identity,0530a82f65e8,True,f010757,True,0.454993039378437,True
"sn_i_bond|div(d,r)|within=mean|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,mean,mean,1,identity,9cf98ce9f5bd,True,f010758,True,4.05622318984224,True
"sn_i_bond|div(d,r)|within=mean|across=median",A,sn_i_bond,"div(d,r)",div,d+r,mean,median,1,identity,5b5aaeb38881,True,f010759,True,4.05723719868058,True
"sn_i_bond|div(d,r)|within=mean|across=max",A,sn_i_bond,"div(d,r)",div,d+r,mean,max,1,identity,2c652bf6a613,True,f010760,True,3.63368692157264,True
"sn_i_bond|div(d,r)|within=sd|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,sd,mean,1,identity,3d6557b0116a,True,f010763,True,0.960681929241665,True
"sn_i_bond|div(d,r)|within=sd|across=median",A,sn_i_bond,"div(d,r)",div,d+r,sd,median,1,identity,05a9d2069d51,True,f010764,True,0.957416850128363,True
"sn_i_bond|div(d,r)|within=sd|across=max",A,sn_i_bond,"div(d,r)",div,d+r,sd,max,1,identity,3a63c56a0acc,True,f010765,True,0.681967690169319,True
"sn_i_bond|div(d,r)|within=sd|across=range",A,sn_i_bond,"div(d,r)",div,d+r,sd,range,1,identity,93a58652a78f,True,f010766,True,1.23893100014687,True
"sn_i_bond|div(d,r)|within=sd|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,sd,site_cv,1,identity,c412b9699300,True,f010767,True,0.637050698736942,True
"sn_i_bond|div(d,r)|within=cv|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,cv,mean,1,identity,667b8326cd72,True,f010768,True,0.970943492080812,True
"sn_i_bond|div(d,r)|within=cv|across=median",A,sn_i_bond,"div(d,r)",div,d+r,cv,median,1,identity,f6aaae2489d4,True,f010769,True,0.96708756250176,True
"sn_i_bond|div(d,r)|within=cv|across=max",A,sn_i_bond,"div(d,r)",div,d+r,cv,max,1,identity,4d781484d6e8,True,f010770,True,0.703353615576207,True
"sn_i_bond|div(d,r)|within=cv|across=range",A,sn_i_bond,"div(d,r)",div,d+r,cv,range,1,identity,7fef29121694,True,f010771,True,1.23127378080595,True
"sn_i_bond|div(d,r)|within=cv|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,cv,site_cv,1,identity,213ed31783bc,True,f010772,True,0.63761242866758,True
"sn_i_bond|div(d,r)|within=normalized_range|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,normalized_range,mean,1,identity,51c48f835edf,True,f010773,True,0.979912764180858,True
"sn_i_bond|div(d,r)|within=normalized_range|across=median",A,sn_i_bond,"div(d,r)",div,d+r,normalized_range,median,1,identity,2bd505677d57,True,f010774,True,0.980132805577289,True
"sn_i_bond|div(d,r)|within=normalized_range|across=max",A,sn_i_bond,"div(d,r)",div,d+r,normalized_range,max,1,identity,b34da833beec,True,f010775,True,0.79174264190147,True
"sn_i_bond|div(d,r)|within=normalized_range|across=range",A,sn_i_bond,"div(d,r)",div,d+r,normalized_range,range,1,identity,c373beccd961,True,f010776,True,1.14048825040379,True
"sn_i_bond|div(d,r)|within=normalized_range|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,normalized_range,site_cv,1,identity,211e446fe6de,True,f010777,True,0.753291028417126,True
"sn_i_bond|div(d,r)|within=mad|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,mad,mean,1,identity,fc695bb94716,True,f010778,True,3.60834389783489,True
"sn_i_bond|div(d,r)|within=mad|across=median",A,sn_i_bond,"div(d,r)",div,d+r,mad,median,1,identity,8ed924f2e5d3,True,f010779,True,3.61577964876406,True
"sn_i_bond|div(d,r)|within=mad|across=max",A,sn_i_bond,"div(d,r)",div,d+r,mad,max,1,identity,1f17dc53aea0,True,f010780,True,2.2395382058608,True
"sn_i_bond|div(d,r)|within=mad|across=range",A,sn_i_bond,"div(d,r)",div,d+r,mad,range,1,identity,2c220713cf4d,True,f010781,True,3.16481562750136,True
"sn_i_bond|div(d,r)|within=mad|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,mad,site_cv,1,identity,44fcbc8bbbb3,True,f010782,True,4.80514299116678,True
"sn_i_bond|div(d,r)|within=iqr|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,iqr,mean,1,identity,a85d8a98b55f,True,f010783,True,2.6521261248056,True
"sn_i_bond|div(d,r)|within=iqr|across=median",A,sn_i_bond,"div(d,r)",div,d+r,iqr,median,1,identity,5b611171faee,True,f010784,True,2.64942674378113,True
"sn_i_bond|div(d,r)|within=iqr|across=max",A,sn_i_bond,"div(d,r)",div,d+r,iqr,max,1,identity,db5b0cfbe51f,True,f010785,True,2.65362434752526,True
"sn_i_bond|div(d,r)|within=iqr|across=range",A,sn_i_bond,"div(d,r)",div,d+r,iqr,range,1,identity,bcc01ce7ace0,True,f010786,True,2.78041232712953,True
"sn_i_bond|div(d,r)|within=iqr|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,iqr,site_cv,1,identity,767072175b1c,True,f010787,True,0.730322315205312,True
"sn_i_bond|div(d,r)|within=min|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,min,mean,1,identity,4ba204b14f09,True,f010788,True,0.698928506026598,True
"sn_i_bond|div(d,r)|within=min|across=median",A,sn_i_bond,"div(d,r)",div,d+r,min,median,1,identity,b171679b4046,True,f010789,True,0.703571450350859,True
"sn_i_bond|div(d,r)|within=min|across=max",A,sn_i_bond,"div(d,r)",div,d+r,min,max,1,identity,7fd287659995,True,f010790,True,1.27362575480798,True
"sn_i_bond|div(d,r)|within=min|across=range",A,sn_i_bond,"div(d,r)",div,d+r,min,range,1,identity,936a0974c139,True,f010791,True,1.48098913233705,True
"sn_i_bond|div(d,r)|within=min|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,min,site_cv,1,identity,9d72a684bb02,True,f010792,True,1.55316467527962,True
"sn_i_bond|div(d,r)|within=max|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,max,mean,1,identity,36410ad49f21,True,f010793,True,1.12966178089196,True
"sn_i_bond|div(d,r)|within=max|across=median",A,sn_i_bond,"div(d,r)",div,d+r,max,median,1,identity,5208dd1513ba,True,f010794,True,1.1295957042123,True
"sn_i_bond|div(d,r)|within=max|across=max",A,sn_i_bond,"div(d,r)",div,d+r,max,max,1,identity,2240fe129cf4,True,f010795,True,0.900354490017054,True
"sn_i_bond|div(d,r)|within=max|across=range",A,sn_i_bond,"div(d,r)",div,d+r,max,range,1,identity,210455d11cbe,True,f010796,True,1.42779091255264,True
"sn_i_bond|div(d,r)|within=max|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,max,site_cv,1,identity,a66d85c367b6,True,f010797,True,1.40210559888837,True
"sn_i_bond|div(d,r)|within=top2_deviation|across=mean",A,sn_i_bond,"div(d,r)",div,d+r,top2_deviation,mean,1,identity,83f13f2136c7,True,f010798,True,0.995226795094344,True
"sn_i_bond|div(d,r)|within=top2_deviation|across=median",A,sn_i_bond,"div(d,r)",div,d+r,top2_deviation,median,1,identity,624e887b5cbe,True,f010799,True,0.995446560681034,True
"sn_i_bond|div(d,r)|within=top2_deviation|across=max",A,sn_i_bond,"div(d,r)",div,d+r,top2_deviation,max,1,identity,15562233bad9,True,f010800,True,0.813299528651379,True
"sn_i_bond|div(d,r)|within=top2_deviation|across=range",A,sn_i_bond,"div(d,r)",div,d+r,top2_deviation,range,1,identity,6b47cb46d22e,True,f010801,True,1.41883364416544,True
"sn_i_bond|div(d,r)|within=top2_deviation|across=site_cv",A,sn_i_bond,"div(d,r)",div,d+r,top2_deviation,site_cv,1,identity,0d492c7d2041,True,f010802,True,0.865946170245518,True
"sn_i_bond|div(r,d)|within=mean|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mean,mean,1,identity,c8f4b2eec3e9,True,f010803,True,4.40172820803236,True
"sn_i_bond|div(r,d)|within=mean|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mean,median,1,identity,17ad9093cd07,True,f010804,True,4.40318822344029,True
"sn_i_bond|div(r,d)|within=mean|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mean,max,1,identity,2dce5ce6057b,True,f010805,True,4.84761649946428,True
"sn_i_bond|div(r,d)|within=sd|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,sd,mean,1,identity,8fa5a9707fc4,True,f010808,True,0.981993806164851,True
"sn_i_bond|div(r,d)|within=sd|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,sd,median,1,identity,1309050822bd,True,f010809,True,0.978457075080466,True
"sn_i_bond|div(r,d)|within=sd|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,sd,max,1,identity,fd6cd7c49824,True,f010810,True,0.748210598284403,True
"sn_i_bond|div(r,d)|within=sd|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,sd,range,1,identity,db8fa6bf801e,True,f010811,True,1.16496269007787,True
"sn_i_bond|div(r,d)|within=sd|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,sd,site_cv,1,identity,a8b552a53a82,True,f010812,True,0.619606232984083,True
"sn_i_bond|div(r,d)|within=cv|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,cv,mean,1,identity,16f8226e28e7,True,f010813,True,0.970301670569226,True
"sn_i_bond|div(r,d)|within=cv|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,cv,median,1,identity,64805eba77c4,True,f010814,True,0.967350008842898,True
"sn_i_bond|div(r,d)|within=cv|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,cv,max,1,identity,6097922d7966,True,f010815,True,0.72568205515797,True
"sn_i_bond|div(r,d)|within=cv|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,cv,range,1,identity,426e61251a3a,True,f010816,True,1.16990267687063,True
"sn_i_bond|div(r,d)|within=cv|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,cv,site_cv,1,identity,6baf677ca77a,True,f010817,True,0.61814779793866,True
"sn_i_bond|div(r,d)|within=normalized_range|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,normalized_range,mean,1,identity,7d6d873797d6,True,f010818,True,0.99906981101476,True
"sn_i_bond|div(r,d)|within=normalized_range|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,normalized_range,median,1,identity,eece80d59c57,True,f010819,True,0.999323487860802,True
"sn_i_bond|div(r,d)|within=normalized_range|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,normalized_range,max,1,identity,efd9933bd5d1,True,f010820,True,0.809158354138942,True
"sn_i_bond|div(r,d)|within=normalized_range|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,normalized_range,range,1,identity,ccb0b5db6174,True,f010821,True,1.09372954057669,True
"sn_i_bond|div(r,d)|within=normalized_range|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,normalized_range,site_cv,1,identity,f225e7295acd,True,f010822,True,0.740963909257372,True
"sn_i_bond|div(r,d)|within=mad|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mad,mean,1,identity,8df8016eddb2,True,f010823,True,4.05973881285871,True
"sn_i_bond|div(r,d)|within=mad|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mad,median,1,identity,5d87726676a4,True,f010824,True,4.06888307828946,True
"sn_i_bond|div(r,d)|within=mad|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mad,max,1,identity,68b8d088cff8,True,f010825,True,2.33769155861942,True
"sn_i_bond|div(r,d)|within=mad|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mad,range,1,identity,9383aebe6fe1,True,f010826,True,2.6075316688438,True
"sn_i_bond|div(r,d)|within=mad|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,mad,site_cv,1,identity,9205276abf5f,True,f010827,True,4.41663841442163,True
"sn_i_bond|div(r,d)|within=iqr|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,iqr,mean,1,identity,3ccf47697b8f,True,f010828,True,2.69305383669437,True
"sn_i_bond|div(r,d)|within=iqr|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,iqr,median,1,identity,adac003a9ffb,True,f010829,True,2.68984125226234,True
"sn_i_bond|div(r,d)|within=iqr|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,iqr,max,1,identity,0ab91d69e0b3,True,f010830,True,2.75540812281124,True
"sn_i_bond|div(r,d)|within=iqr|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,iqr,range,1,identity,f31fb09eed69,True,f010831,True,2.80565411557733,True
"sn_i_bond|div(r,d)|within=iqr|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,iqr,site_cv,1,identity,d6690b54a553,True,f010832,True,0.719785066005993,True
"sn_i_bond|div(r,d)|within=min|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,min,mean,1,identity,99b95e278cd2,True,f010833,True,1.13685751095522,True
"sn_i_bond|div(r,d)|within=min|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,min,median,1,identity,9f72927b3eef,True,f010834,True,1.13679268460848,True
"sn_i_bond|div(r,d)|within=min|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,min,max,1,identity,8152eeb781d1,True,f010835,True,1.35260901565844,True
"sn_i_bond|div(r,d)|within=min|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,min,range,1,identity,e01074658723,True,f010836,True,1.39480119540275,True
"sn_i_bond|div(r,d)|within=min|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,min,site_cv,1,identity,63a069c9f6cb,True,f010837,True,1.40206708676986,True
"sn_i_bond|div(r,d)|within=max|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,max,mean,1,identity,9f7fc66026f5,True,f010838,True,0.702614633247997,True
"sn_i_bond|div(r,d)|within=max|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,max,median,1,identity,4aaa310cf66c,True,f010839,True,0.707350491426037,True
"sn_i_bond|div(r,d)|within=max|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,max,max,1,identity,dea59a3bf739,True,f010840,True,0.7671570549523,True
"sn_i_bond|div(r,d)|within=max|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,max,range,1,identity,cb352fb8c2d7,True,f010841,True,1.49053133794614,True
"sn_i_bond|div(r,d)|within=max|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,max,site_cv,1,identity,69091509f230,True,f010842,True,1.55312820414375,True
"sn_i_bond|div(r,d)|within=top2_deviation|across=mean",A,sn_i_bond,"div(r,d)",div_reverse,d+r,top2_deviation,mean,1,identity,53ccdd8605ef,True,f010843,True,0.988630234795372,True
"sn_i_bond|div(r,d)|within=top2_deviation|across=median",A,sn_i_bond,"div(r,d)",div_reverse,d+r,top2_deviation,median,1,identity,a9296ed641d4,True,f010844,True,0.988887288274214,True
"sn_i_bond|div(r,d)|within=top2_deviation|across=max",A,sn_i_bond,"div(r,d)",div_reverse,d+r,top2_deviation,max,1,identity,1df5d823033b,True,f010845,True,0.812533352606464,True
"sn_i_bond|div(r,d)|within=top2_deviation|across=range",A,sn_i_bond,"div(r,d)",div_reverse,d+r,top2_deviation,range,1,identity,1366b100b855,True,f010846,True,1.35650921962909,True
"sn_i_bond|div(r,d)|within=top2_deviation|across=site_cv",A,sn_i_bond,"div(r,d)",div_reverse,d+r,top2_deviation,site_cv,1,identity,5cd7d189d120,True,f010847,True,0.856911509382283,True
"sn_i_bond|mult(h,r)|within=sd|across=site_cv",A,sn_i_bond,"mult(h,r)",mult,h+r,sd,site_cv,1,identity,dcf1f103b152,True,f013305,True,1.19123815644058,True
"sn_i_bond|mult(h,r)|within=cv|across=mean",A,sn_i_bond,"mult(h,r)",mult,h+r,cv,mean,1,identity,173cc2b8188e,True,f013306,True,1.08072722541884,True
"sn_i_bond|mult(h,r)|within=cv|across=median",A,sn_i_bond,"mult(h,r)",mult,h+r,cv,median,1,identity,259ff259c500,True,f013307,True,1.07597652579145,True
"sn_i_bond|mult(h,r)|within=cv|across=max",A,sn_i_bond,"mult(h,r)",mult,h+r,cv,max,1,identity,a69fb6bb5521,True,f013308,True,1.94230936640214,True
"sn_i_bond|mult(h,r)|within=cv|across=range",A,sn_i_bond,"mult(h,r)",mult,h+r,cv,range,1,identity,3d9fe95e2337,True,f013309,True,3.22038605022048,True
"sn_i_bond|mult(h,r)|within=cv|across=site_cv",A,sn_i_bond,"mult(h,r)",mult,h+r,cv,site_cv,1,identity,501d497fa37e,True,f013310,True,1.24150878085029,True
"sn_i_bond|mult(h,r)|within=normalized_range|across=mean",A,sn_i_bond,"mult(h,r)",mult,h+r,normalized_range,mean,1,identity,8eecc6e2b37f,True,f013311,True,1.37104912769698,True
"sn_i_bond|mult(h,r)|within=normalized_range|across=median",A,sn_i_bond,"mult(h,r)",mult,h+r,normalized_range,median,1,identity,61cd38c884ea,True,f013312,True,1.37103441200877,True
"sn_i_bond|mult(h,r)|within=normalized_range|across=max",A,sn_i_bond,"mult(h,r)",mult,h+r,normalized_range,max,1,identity,96a1c6623c3f,True,f013313,True,1.22318374229777,True
"sn_i_bond|mult(h,r)|within=normalized_range|across=range",A,sn_i_bond,"mult(h,r)",mult,h+r,normalized_range,range,1,identity,25125946f39f,True,f013314,True,1.37656664412382,True
"sn_i_bond|mult(h,r)|within=normalized_range|across=site_cv",A,sn_i_bond,"mult(h,r)",mult,h+r,normalized_range,site_cv,1,identity,be6039ff697e,True,f013315,True,0.506236566235452,True
"sn_i_bond|mult(h,r)|within=iqr|across=site_cv",A,sn_i_bond,"mult(h,r)",mult,h+r,iqr,site_cv,1,identity,bf6c65274172,True,f013325,True,4.40255004422064,True
"sn_i_bond|mult(h,r)|within=max|across=site_cv",A,sn_i_bond,"mult(h,r)",mult,h+r,max,site_cv,1,identity,ce4b93d562ad,True,f013335,True,2.8965724373296,True
"sn_i_bond|mult(h,r)|within=top2_deviation|across=site_cv",A,sn_i_bond,"mult(h,r)",mult,h+r,top2_deviation,site_cv,1,identity,d48ecccecf0e,True,f013340,True,0.464135958268478,True
"sn_i_bond|div(h,r)|within=sd|across=site_cv",A,sn_i_bond,"div(h,r)",div,h+r,sd,site_cv,1,identity,05ab28023cdb,True,f013350,True,4.06736950877919,True
"sn_i_bond|div(h,r)|within=cv|across=mean",A,sn_i_bond,"div(h,r)",div,h+r,cv,mean,1,identity,8b10b7eee105,True,f013351,True,1.82320226757659,True
"sn_i_bond|div(h,r)|within=cv|across=median",A,sn_i_bond,"div(h,r)",div,h+r,cv,median,1,identity,af441602e4ed,True,f013352,True,1.82290849072,True
"sn_i_bond|div(h,r)|within=cv|across=max",A,sn_i_bond,"div(h,r)",div,h+r,cv,max,1,identity,13f721c395de,True,f013353,True,1.80052427361566,True
"sn_i_bond|div(h,r)|within=cv|across=site_cv",A,sn_i_bond,"div(h,r)",div,h+r,cv,site_cv,1,identity,485f73b52479,True,f013355,True,4.09054549257347,True
"sn_i_bond|div(h,r)|within=normalized_range|across=mean",A,sn_i_bond,"div(h,r)",div,h+r,normalized_range,mean,1,identity,93407a403be8,True,f013356,True,3.82840568768447,True
"sn_i_bond|div(h,r)|within=normalized_range|across=median",A,sn_i_bond,"div(h,r)",div,h+r,normalized_range,median,1,identity,231832a3694e,True,f013357,True,3.82864409711704,True
"sn_i_bond|div(h,r)|within=normalized_range|across=max",A,sn_i_bond,"div(h,r)",div,h+r,normalized_range,max,1,identity,a367075e6513,True,f013358,True,3.51294408504753,True
"sn_i_bond|div(h,r)|within=normalized_range|across=site_cv",A,sn_i_bond,"div(h,r)",div,h+r,normalized_range,site_cv,1,identity,059dbf2e3733,True,f013360,True,3.77335261020594,True
"sn_i_bond|div(h,r)|within=mad|across=site_cv",A,sn_i_bond,"div(h,r)",div,h+r,mad,site_cv,1,identity,f2ed511196c8,True,f013365,True,3.06920257256959,True
"sn_i_bond|div(h,r)|within=iqr|across=site_cv",A,sn_i_bond,"div(h,r)",div,h+r,iqr,site_cv,1,identity,97ecee4b198f,True,f013370,True,3.29302336434099,True
"sn_i_bond|div(h,r)|within=top2_deviation|across=site_cv",A,sn_i_bond,"div(h,r)",div,h+r,top2_deviation,site_cv,1,identity,4c46dc88c861,True,f013385,True,3.75122162193026,True
"sn_i_bond|div(r,h)|within=sd|across=site_cv",A,sn_i_bond,"div(r,h)",div_reverse,h+r,sd,site_cv,1,identity,fb85d9a754f4,True,f013395,True,4.16943742993043,True
"sn_i_bond|div(r,h)|within=cv|across=mean",A,sn_i_bond,"div(r,h)",div_reverse,h+r,cv,mean,1,identity,dc8a0044d42f,True,f013396,True,2.04746139545606,True
"sn_i_bond|div(r,h)|within=cv|across=median",A,sn_i_bond,"div(r,h)",div_reverse,h+r,cv,median,1,identity,21b277ae6934,True,f013397,True,2.04711610221388,True
"sn_i_bond|div(r,h)|within=cv|across=max",A,sn_i_bond,"div(r,h)",div_reverse,h+r,cv,max,1,identity,4615dfd4502d,True,f013398,True,2.01053210547413,True
"sn_i_bond|div(r,h)|within=cv|across=site_cv",A,sn_i_bond,"div(r,h)",div_reverse,h+r,cv,site_cv,1,identity,adbfbdb4f4fa,True,f013400,True,4.13811151583482,True
"sn_i_bond|div(r,h)|within=normalized_range|across=mean",A,sn_i_bond,"div(r,h)",div_reverse,h+r,normalized_range,mean,1,identity,08f74376b035,True,f013401,True,4.0564571645111,True
"sn_i_bond|div(r,h)|within=normalized_range|across=median",A,sn_i_bond,"div(r,h)",div_reverse,h+r,normalized_range,median,1,identity,1a47eadb58fd,True,f013402,True,4.0567737376787,True
"sn_i_bond|div(r,h)|within=normalized_range|across=max",A,sn_i_bond,"div(r,h)",div_reverse,h+r,normalized_range,max,1,identity,df774ebec1f7,True,f013403,True,3.73772217844076,True
"sn_i_bond|div(r,h)|within=normalized_range|across=site_cv",A,sn_i_bond,"div(r,h)",div_reverse,h+r,normalized_range,site_cv,1,identity,544d9238ebe1,True,f013405,True,3.70114575431784,True
"sn_i_bond|div(r,h)|within=mad|across=site_cv",A,sn_i_bond,"div(r,h)",div_reverse,h+r,mad,site_cv,1,identity,da06b0280485,True,f013410,True,4.62434813322941,True
"sn_i_bond|div(r,h)|within=iqr|across=site_cv",A,sn_i_bond,"div(r,h)",div_reverse,h+r,iqr,site_cv,1,identity,4645092877d5,True,f013415,True,2.72699960900068,True
"sn_i_bond|div(r,h)|within=top2_deviation|across=site_cv",A,sn_i_bond,"div(r,h)",div_reverse,h+r,top2_deviation,site_cv,1,identity,a54c26f19285,True,f013430,True,3.73090087578305,True
outer=sq|sn_i_bond|d|within=mean|across=site_cv,A,sn_i_bond,d,identity,d,mean,site_cv,1,sq,c69bcbf825ec,True,f021172,True,0,True
outer=sqrt|sn_i_bond|d|within=mean|across=site_cv,A,sn_i_bond,d,identity,d,mean,site_cv,1,sqrt,526dc2c3a762,True,f021173,True,0,True
outer=sq|sn_i_bond|d|within=sd|across=site_cv,A,sn_i_bond,d,identity,d,sd,site_cv,1,sq,5af87e4f5ccc,True,f021185,True,0,True
outer=sqrt|sn_i_bond|d|within=sd|across=site_cv,A,sn_i_bond,d,identity,d,sd,site_cv,1,sqrt,33c3142db162,True,f021186,True,0,True
outer=sq|sn_i_bond|d|within=cv|across=mean,A,sn_i_bond,d,identity,d,cv,mean,1,sq,bb4dc9665b8a,True,f021187,True,0,True
outer=sqrt|sn_i_bond|d|within=cv|across=mean,A,sn_i_bond,d,identity,d,cv,mean,1,sqrt,bcc5852663dd,True,f021188,True,0,True
outer=inv|sn_i_bond|d|within=cv|across=mean,A,sn_i_bond,d,identity,d,cv,mean,1,inv,46e95c4fed5f,True,f021189,True,0,True
outer=sq|sn_i_bond|d|within=cv|across=median,A,sn_i_bond,d,identity,d,cv,median,1,sq,546f30408c13,True,f021190,True,0,True
outer=sqrt|sn_i_bond|d|within=cv|across=median,A,sn_i_bond,d,identity,d,cv,median,1,sqrt,320cb4d919ca,True,f021191,True,0,True
outer=inv|sn_i_bond|d|within=cv|across=median,A,sn_i_bond,d,identity,d,cv,median,1,inv,a4e28ffd4adb,True,f021192,True,0,True
outer=sq|sn_i_bond|d|within=cv|across=max,A,sn_i_bond,d,identity,d,cv,max,1,sq,23708379f5c8,True,f021193,True,0,True
outer=sqrt|sn_i_bond|d|within=cv|across=max,A,sn_i_bond,d,identity,d,cv,max,1,sqrt,21f5c286a3ea,True,f021194,True,0,True
outer=inv|sn_i_bond|d|within=cv|across=max,A,sn_i_bond,d,identity,d,cv,max,1,inv,651f572d6131,True,f021195,True,0,True
outer=sq|sn_i_bond|d|within=cv|across=range,A,sn_i_bond,d,identity,d,cv,range,1,sq,731f3907ee09,True,f021196,True,0,True
outer=sqrt|sn_i_bond|d|within=cv|across=range,A,sn_i_bond,d,identity,d,cv,range,1,sqrt,85b89c36e42e,True,f021197,True,0,True
outer=sq|sn_i_bond|d|within=cv|across=site_cv,A,sn_i_bond,d,identity,d,cv,site_cv,1,sq,a7cfad48aa23,True,f021198,True,0,True
outer=sqrt|sn_i_bond|d|within=cv|across=site_cv,A,sn_i_bond,d,identity,d,cv,site_cv,1,sqrt,0d61292d1c1b,True,f021199,True,0,True
outer=sq|sn_i_bond|d|within=normalized_range|across=mean,A,sn_i_bond,d,identity,d,normalized_range,mean,1,sq,8b11285388d2,True,f021200,True,0,True
outer=sqrt|sn_i_bond|d|within=normalized_range|across=mean,A,sn_i_bond,d,identity,d,normalized_range,mean,1,sqrt,828707511b49,True,f021201,True,0,True
outer=inv|sn_i_bond|d|within=normalized_range|across=mean,A,sn_i_bond,d,identity,d,normalized_range,mean,1,inv,bfac30a9143d,True,f021202,True,0,True
outer=sq|sn_i_bond|d|within=normalized_range|across=median,A,sn_i_bond,d,identity,d,normalized_range,median,1,sq,0048351d33a8,True,f021203,True,0,True
outer=sqrt|sn_i_bond|d|within=normalized_range|across=median,A,sn_i_bond,d,identity,d,normalized_range,median,1,sqrt,3db2d2795a86,True,f021204,True,0,True
outer=inv|sn_i_bond|d|within=normalized_range|across=median,A,sn_i_bond,d,identity,d,normalized_range,median,1,inv,321bf00b7a30,True,f021205,True,0,True
outer=sq|sn_i_bond|d|within=normalized_range|across=max,A,sn_i_bond,d,identity,d,normalized_range,max,1,sq,d65d79ffdc05,True,f021206,True,0,True
outer=sqrt|sn_i_bond|d|within=normalized_range|across=max,A,sn_i_bond,d,identity,d,normalized_range,max,1,sqrt,e5639e54c120,True,f021207,True,0,True
outer=inv|sn_i_bond|d|within=normalized_range|across=max,A,sn_i_bond,d,identity,d,normalized_range,max,1,inv,c7d4580c3e9e,True,f021208,True,0,True
outer=sq|sn_i_bond|d|within=normalized_range|across=range,A,sn_i_bond,d,identity,d,normalized_range,range,1,sq,ed329253a669,True,f021209,True,0,True
outer=sqrt|sn_i_bond|d|within=normalized_range|across=range,A,sn_i_bond,d,identity,d,normalized_range,range,1,sqrt,fa4471217fd9,True,f021210,True,0,True
outer=sq|sn_i_bond|d|within=normalized_range|across=site_cv,A,sn_i_bond,d,identity,d,normalized_range,site_cv,1,sq,eade0c838324,True,f021211,True,0,True
