candidate_key,required_modules,object_type,local_expression,local_operation,source_primitives,within_reducer,across_reducer,unit,outer_transform,numeric_family_id,is_family_representative,feature_id,grid_dependent,max_grid_spread_pct_of_full_range,grid_stable
sn_i_bond|sq(d)|within=sd|across=site_cv,A,sn_i_bond,sq(d),sq,d,sd,site_cv,1,identity,e3a0585f97a3,True,f001737,True,0,True
sn_i_bond|sq(d)|within=cv|across=mean,A,sn_i_bond,sq(d),sq,d,cv,mean,1,identity,fd787f311024,True,f001738,True,0,True
sn_i_bond|sq(d)|within=cv|across=median,A,sn_i_bond,sq(d),sq,d,cv,median,1,identity,2a5c0468f29c,True,f001739,True,0,True
sn_i_bond|sq(d)|within=cv|across=max,A,sn_i_bond,sq(d),sq,d,cv,max,1,identity,7fcaa706dd54,True,f001740,True,0,True
sn_i_bond|sq(d)|within=cv|across=range,A,sn_i_bond,sq(d),sq,d,cv,range,1,identity,ef594327faac,True,f001741,True,0,True
sn_i_bond|sq(d)|within=cv|across=site_cv,A,sn_i_bond,sq(d),sq,d,cv,site_cv,1,identity,09ee1200def9,True,f001742,True,0,True
sn_i_bond|sq(d)|within=normalized_range|across=mean,A,sn_i_bond,sq(d),sq,d,normalized_range,mean,1,identity,180ab93e4389,True,f001743,True,0,True
sn_i_bond|sq(d)|within=normalized_range|across=median,A,sn_i_bond,sq(d),sq,d,normalized_range,median,1,identity,47bb60d7bd41,True,f001744,True,0,True
sn_i_bond|sq(d)|within=normalized_range|across=max,A,sn_i_bond,sq(d),sq,d,normalized_range,max,1,identity,e5b58cac4254,True,f001745,True,0,True
sn_i_bond|sq(d)|within=normalized_range|across=range,A,sn_i_bond,sq(d),sq,d,normalized_range,range,1,identity,94b00b741c5e,True,f001746,True,0,True
sn_i_bond|sq(d)|within=normalized_range|across=site_cv,A,sn_i_bond,sq(d),sq,d,normalized_range,site_cv,1,identity,a7692206fcb5,True,f001747,True,0,True
sn_i_bond|sq(d)|within=mad|across=site_cv,A,sn_i_bond,sq(d),sq,d,mad,site_cv,1,identity,8b3650d0fcae,True,f001752,True,0,True
sn_i_bond|sq(d)|within=iqr|across=site_cv,A,sn_i_bond,sq(d),sq,d,iqr,site_cv,1,identity,9fd658302a9f,True,f001757,True,0,True
sn_i_bond|sq(d)|within=min|across=site_cv,A,sn_i_bond,sq(d),sq,d,min,site_cv,1,identity,fb7a17856035,True,f001762,True,0,True
