sample_id,material,FWHM_meV
m00,"1,3CDMA",137.161159430767
m01,4AMP,177.718487150994
m02,3AMP,141.433778040839
m03,4AMPy,275.701165227732
m04,DGA,515.298376907116
m05,2AEPy,242.831428581324
m06,4AEPy,130.216635586501
m07,BDA,135.60634074896
m08,OBE,287.799712334037
m09,AEP,597.386103078795
m10,HDA,122.036711380328
m11,DAN,145.635144753527
m12,"1,4CDMA",111.393460937751
